id,won,queue,batch
4CLAbgrEFN3zPBULH9bA,1025,apj,m74
4O8FLKN4WTCWGH3asdTU,777,abu,m75
4OI0CQace79v90Vzwtvj,619,abu,m76
4SlaFERmiwAsSKYalUyb,822,x1,m77
4Tyy5vwgVt9Rbqm0p4dU,799,x1,m78
4Y8zyHJAmbx6L4lYIQOk,236,abu,m79
4gyWAtUpk1xney0aDjEK,210,abu,m80
4jmM3ftwfj9dJPUMtVXz,884,x1,m81
4mhYaKtKEKNI8fk3qH9s,293,abu,m82
4zxchbnxqXcW2eldqKel,443,abu,m83
51Y1RxoYNd4scJXp3ek8,239,abu,m84
51pGcXQcs7nVjA3gWV2h,495,apj,m85
5646JaJJXs3Gr9uE8qeF,181,abu,m86
573yxZf7YSE5axW9rLJK,745,apj,m87
5G8P2BVxSfBkBWqhaNb8,728,abu,m88
5Q4quOsValAy4nNP0B2V,487,abu,m89
5ZlxYLOFte8rZPX0YvzU,628,apj,m90
5ghJeOhRkDqApVDBVL6d,756,x1,m91
5lIBGDtBChGAvbJsSEJA,647,abu,m92
5mAwLjU95Bz1za2kP6pI,574,x1,m93
5n9EzWTPpnSGVDesv2Nv,1042,abu,m94
5nRj22WHGifGZjzMklS9,335,abu,m95
5uYHVmu4evQAmhNkNS1Y,87,abu,m96
5xK4TbRLzX35K0Xi7nzb,370,abu,m97
63oJopqeHORoKk7Wah76,892,x1,m98
654feKoi56JBUlRgUKu1,867,abu,m99
665ZTYNfMKyRgNrzlH8T,770,x1,m100
6HCwoTjQplsQEEhcVWgl,342,abu,m101
6LEgmuGJ08bp7NTdh0Pr,459,apj,m102
6O7JTgCSIffsE88fRqOV,590,abu,m103
6P46nck3ztJYrKQ6xhfq,776,abu,m104
6RYuuutZ9UZHym1gy2mY,91,abu,m105
6UrzpB0L15vhtGDLWzQs,55,x1,m106
6dEsDRgBtM0DzpAGAwHA,805,abu,m107
6nJOILdOnB9bEF0qza8W,167,abu,m108
6oDw8BcPkISdP6pJ307z,489,abu,m109
6oYXZORYeFB3PWuqyZ0v,137,abu,m110
6q6FiEST851vVKNuBdKE,1059,apj,m111
6rQZkmW8uccpkBEmc2eL,929,abu,m112
6sfQoYv7z5jUMrQmr681,555,x1,m113
6t6GXZiRzb9VDu3UlekG,865,abu,m114
6wJfiv8pUYP8mYmKDwlU,321,abu,m115
6wMh7gd8TZkf3d8sYkDq,464,x1,m116
6zaSQYKbHi9jjuusnj0P,362,abu,m117
740FGnUHtN55t3qTYfH7,1029,apj,m118
75j1fEmkbFl8JFgzqBpo,317,abu,m119
76mx71NWx6DuKxskSek6,498,apj,m120
794L6cD0ak2j2zgV8xj4,258,abu,m121
7CjgKssDDJSJ42oDPCp6,550,x1,m122
7EYrNAVRGk6pCmm84rLW,252,abu,m123
7GH2UVcALsg5SxtV8WB8,426,x1,m124
7JWZKvQCrBCjZSY6IxFS,227,abu,m125
7NGIphU58CepgF4unrPB,296,abu,m126
7NHBe6qQYu9j3nhMGGvF,229,abu,m127
7NYJxOKQzYveWXdFAIN1,271,abu,m128
7TOsMxkk18oIDVX4YWOD,787,x1,m129
7YegZdACx38epBYHD0WC,1105,abu,m130
7Zx6846TcdENbl2TzK1A,504,apj,m131
7d8DWT7g6MNdgwDCDrD6,649,abu,m132
7dIoWeUONVsOKEQ0sBrg,343,abu,m133
7ikPwp2XSapkc1m1BUjq,218,abu,m134
7jyny8g7kgNHmfvkoTBX,484,abu,m135
7kPAPQpKhWIwbxGLxrby,152,abu,m136
7rhTp47C3s2EhZ4DN0SM,834,abu,m137
7s6TY6IJTBdMgIzN66Du,717,abu,m138
7sUYmusSBaoPiOLnhbGj,669,x1,m139
7uvcrWviXLz3VJqIz4up,754,x1,m140
83B3ksI2asXAUdBSfvZm,204,abu,m141
83k768nKhvijGH3yrro5,778,apj,m142
8NVRbDwxRyrQtcAhGrnx,265,abu,m143
8Qrp4ehJX05gt0zd9gFl,763,abu,m144
8TH4BI0PEof5PDE8VOaf,848,abu,m145
8THNFknFfX9ei6Z9XBSD,697,apj,m146
8avDM7Er1IxLZ8vrOJDz,907,x1,m147
8w5CPrGSO3ehBElYMH8R,9,x1,m148
8wyqKRMwo6F74VIggT5a,890,x1,m149
8xGHaIaAyVAPtOYRm2zY,808,abu,m150
90o0G2XUXsQ4QFsL1WH2,158,abu,m151
917vtu5gZ7tQ7NMiqrkI,941,abu,m152
91oJY3Bi9QwG7RyLw3W0,915,x1,m153
9CMK30MVY5qXfDV3gVAA,645,abu,m154
9E6L7qyiRtXMi5YMFqnY,388,abu,m155
9GTChaMnaw6YqfTsj8qz,885,x1,m156
9HanGqCMkBoAhYu4NhpE,123,abu,m157
9LY7oYMFM6IDnFyn7Cju,1074,abu,m158
9PCpx1vZK1WlRDgnIz4I,1080,abu,m159
9XB40s2lZv8YNwUd9nDE,398,abu,m160
9eBJL3DJwDuZubR93yEa,689,abu,m161
9fsboZsmutJ0Gr226uky,522,abu,m162
9lTZnfDHQLTda33v8DBM,164,abu,m163
9mPPv6NXxCXiF2wUjpeq,172,abu,m164
9pLZFeIelC96jFKiSeSJ,792,apj,m165
9wGYTYyb0nWWXCfFk6P5,930,abu,m166
A3zubK70B2qfexmX3fWg,117,abu,m167
A6tAQwXhXQMvngXffDLv,644,abu,m168
A98j0MBvlXQcoZDZ48Pb,287,abu,m169
AEfXqno6EftUlABAzevZ,432,abu,m170
AHp4Ni4LzCttDXqfqlvD,375,abu,m171
AJQxF45vBvC5V4YmV2Tp,376,abu,m172
ANcDfsWBTTaBw1UG380w,923,abu,m173
AUGkEVYPMYh6rjrrwklV,918,apj,m174
AZ54yxGYnLcWOA4NS5o0,876,abu,m175
AZl7wEXyVTntkXG0I3kZ,749,apj,m176
AgTZt85mVpS7OnQrjFM2,341,abu,m177
AkyDMfJfOZoYR70v6006,815,abu,m178
Ap31plYfXxyOoEdNvEx6,103,abu,m179
AwnmFbhZhS9v1qYjFuk2,196,abu,m180
BC4D4gUnqX4UFcpJ9s1n,634,abu,m181
BCnwUiiJHFJDNOw4iujm,141,abu,m182
BE4qvt9sNhuiw2F8VlTH,124,x1,m183
BGoY9BnNA3YbBCmm38jw,327,abu,m184
BHqd7dkyMUJk6KOLzRNu,322,abu,m185
BUbSTapQkKiI3zyYORb9,694,abu,m186
BXnVc5WeHqRyd2i5BKWL,768,abu,m187
BghzNLS8zAx9IHobpnWI,714,x1,m188
BoktT9Bw72hkqJt5h34R,441,abu,m189
C2VJrraFTklCB6NHaWIU,128,x1,m190
C2kj9dIvUQiqp8Ego7jK,501,x1,m191
C34fI5NqCGikczwDykAO,174,abu,m192
C50VMJAEN5ZDOKUQeLIn,819,x1,m193
C5pxCplg7exewgW2pWaY,439,abu,m194
C7MnNG4kd4ibyVlOJak2,868,abu,m195
CAeONcIJy9MLwQs3glrT,998,abu,m196
CER6vYq6AXYsoofa5Brw,684,abu,m197
CF7LXvGG0Si5mFAkniDd,250,abu,m198
CHz7EiXeitOIgqVSrCTr,607,x1,m199
CNjCNjTBJqvshWMNH6Fj,197,abu,m200
CNvD1DTPp4rAru4AFaE7,82,abu,m201
CZuaZmHXiRDYVe77waZx,970,abu,m202
CZw77zImTey25dDQcxcC,662,apj,m203
Cb9dp3iYQj1agBxlGris,688,abu,m204
Chos8pBupu53Xf4fg20A,455,apj,m205
CmV4bEMgU47ouVKuZtbB,667,apj,m206
Cyc6poUl5zbbn3K989Tb,364,abu,m207
DMYN1yKEQzpiJ54xgxNd,427,x1,m208
DOAqG2HnpXpwPZNDVzwK,516,x1,m209
DZid97AygEGu2z2oBjdg,1093,apj,m210
Dk9zUVUxAPZ0Z5jXzICd,94,abu,m211
DmuZ3m2oJk90HtHJV8eK,92,abu,m212
Dp7lob1c1IC9XmIFEPcv,368,abu,m213
DqCZpaecFbUVlQpUPdQF,614,abu,m214
Ds8bv6XGaHCz8ayxwYnW,1102,abu,m215
Dz9YaV1LqvhxnAQAVUAg,1036,abu,m216
DzlyquqiW8azFvNdKknx,836,abu,m217
E80yKr26tnQEzLjVfEtE,594,abu,m218
EGqE3FlCnhvt27mwsk87,898,x1,m219
EL2laQx9yTPkrzuqkB0M,251,abu,m220
EMzQdqnzKoYYfniX1eo4,254,x1,m221
EZpGuJWHkK44aGJkTVLz,214,abu,m222
Eb0fYs9hOAq8A4d90aGt,727,abu,m223
EhSOONqjFYBFuuJECGLR,886,x1,m224
F7CXK1SWwhYfdmC6cQUA,170,abu,m225
FCTw8EV9QYgX9ME3uJJL,668,x1,m226
FCYEI4CxS5e4JlQpkHN2,747,apj,m227
FFeMYKY8Zl6khJIISJMs,581,x1,m228
FIufK4SFLMexsnDFVpaW,617,abu,m229
FOJE2cAA03F7QLZojnTA,677,x1,m230
FPvMgtIwEutc1PWCPpwB,257,abu,m231
FQM3WNwVjpbzWmpNr6uy,828,abu,m232
FQzBiAr04YVfPh10OZKU,525,abu,m233
FSwYQrk7xETUf3N5NBED,355,abu,m234
FY9eYpXVLLWbLTc8k3MK,417,apj,m235
FZrTmcALNEcqwxiSbMFt,786,x1,m236
FdYsbPScacsxwOscWD6o,636,abu,m237
Fi4290thD9dTmfF4YrzN,729,abu,m238
Fi8j01vN0JVVodeWqnbh,1111,abu,m239
FmCdY3SgKFSVtTZyog1A,513,x1,m240
FqZckp3rfbOs3Hxhybck,311,abu,m241
FtRjaT5IWNuRZp4BGGgt,707,apj,m242
Fwj4h8N2FeZoYTJgiuk8,385,abu,m243
G3G2LSEK6vYWLeEbcwlo,804,x1,m244
G9UBBTq8wVJPlxNm3PHz,7,x1,m245
GB5NaHVrSHmsIBuslXdO,981,abu,m246
GENVQ4SD7SeJqBJ0s3AD,456,apj,m247
GEgs2PZ4RqFkmjv4QJbk,692,abu,m248
GINf9HH5yInLqMr8cvbC,1005,apj,m249
GLJQqTEcddoVo96jXXpa,666,apj,m250
GOBKlAysOMdAXnUYLFQl,788,x1,m251
GOnpSJYSN3dcKP3Cf3rc,875,abu,m252
GWGkm1l3xZVUFzH8V8FR,1078,abu,m253
GetIxFSEtp5BZkdNr8RG,295,abu,m254
GiXrhIOuOTQQUt89w30C,266,abu,m255
GkRVXvQFdpG7YfRtncVn,166,abu,m256
GqoN2hWkfJ57Cyc6UZTb,813,abu,m257
GsmGHGrMTdWsiKGUB2nr,425,x1,m258
GwnD7VyZersU3BNjiRdc,798,x1,m259
H3FeuBViILA4lD7ONusi,986,apj,m260
H5RjXJLmXNPUudWe6rJu,510,abu,m261
HOhIGLbRSrfsYL5cpqWi,256,x1,m262
HPAjlLiTkACaiHPLAgma,173,abu,m263
HPXskkEj2x8XbIDRGYgF,354,abu,m264
HPpTzkywPX9La6gRANtd,984,abu,m265
HQg8zsnOmELRGNLqqkwt,539,abu,m266
HQq7DuqJ6LMe6EJ19rXX,301,abu,m267
HRnbz7k9L1uoCjZKvqqt,774,x1,m268
Hg0bcMATzWJuelNo2pO4,661,abu,m269
HjlvK2UcAIScATKXWuJO,955,abu,m270
HoOSx4eeZBvhurwguBZW,797,abu,m271
I7lU2dLy2VX3Q1Bn4BTJ,1002,abu,m272
I8UsmyuoJi1BYprkm5RC,323,abu,m273
I9bUTavAqf9hvaMifNHf,793,x1,m274
IA6HJo4XJzSzyGxUQeHG,821,x1,m275
ICwjJ5nPEcui4W2DmCa0,957,apj,m276
IQgDbp4Ng53CbyxdocCk,437,abu,m277
IXwYV2jPpNmTM8mUZWgy,538,abu,m278
IeKQ46cFDx8l89UfnOxi,944,abu,m279
Ih0oHUEHtxiuR5fKisbl,719,abu,m280
Im4ryMEbg5l4iyQq817v,1057,abu,m281
IqZV6D2SpXgoiZnexGob,231,x1,m282
J1ri3GSjChpmDwKx2B9t,1035,abu,m283
J2R2cra4uJqcZAOAPcUh,146,abu,m284
JBExGSbMERgSJGQf4rqx,1022,abu,m285
JFBFj7LbqMtza7CdfCkX,577,abu,m286
JIQvHQPPiVKtD1TIrMXb,679,x1,m287
JQWIAJreABuF2UXAq1cd,761,abu,m288
JWkvdLf3FYW3xBcFk7gZ,433,abu,m289
JX1XBN0sHIxxJ7JT0Kfe,945,x1,m290
Ja1wNMNG4isAKS50FrCS,558,apj,m291
JdT64hAb4y7LAepujhw9,736,x1,m292
JeMpeM8UtqLWHtGlHpon,860,abu,m293
JefPhIVUwTMGJ6PrOTH7,534,abu,m294
JfJpHcejg8rXH9nEpnuE,696,apj,m295
JhAOk7JEDMdGK0Q7x6p9,1015,abu,m296
JviTXU5LWRDjhK56sNtC,1038,abu,m297
JyYurBoW6FLx7zKoxjfk,163,abu,m298
K5LzTk6CEpMv3U44QT9l,861,abu,m299
KBYSxp1zcyP9gB4vRp5e,548,x1,m300
KFt54fMyV1wDf7iBvP2k,248,abu,m301
KGFsiwJB77UmIlFYYvLb,969,abu,m302
KJfidt1sdIuWTmLexHez,874,abu,m303
KKYf2SPeySiJs6XSJzXS,627,x1,m304
KMKltxJ7N1UdubMbEE9p,1108,abu,m305
KPerlK9Bx4gViqmnje2o,1086,abu,m306
KQxgK0LJGTXyAZE9M2zN,462,x1,m307
KWReZeuEIeUrwdZ0FpUW,1097,apj,m308
KXdOeGuBfXvtMxXUulYt,358,abu,m309
KZgSrkPuRPC2OuUE9scY,789,x1,m310
Kb76k1d6O67V9nWdW8li,188,abu,m311
KcnSGaYX6LNpzjpkIxNs,533,abu,m312
KhAp9uyTT0gdMTse3WY1,703,apj,m313
KveQVkgEuarsqRGzbCv9,675,x1,m314
L0iW9ZpH1lHG23TZiTMI,708,x1,m315
L2lPIuSXEHsJxNF7Zzur,118,abu,m316
LAGVFZthbc7IR2l0hJTm,855,x1,m317
LAL7YdlYTQoaFxv9eiX3,1054,abu,m318
LB8ZBEucCicx443dGbGp,1069,apj,m319
LEFQanjKGlxKF57LbyW0,134,x1,m320
LKYptAornabavbRSYKAD,927,abu,m321
LWfVMLHO0Fxd6iXOIzGT,132,x1,m322
LXzTCTwrm4C99Uazj2cs,281,x1,m323
Lg33pFAdk7Kza1rk49vn,512,x1,m324
Lh56T9IuUQwiL6VHtMzb,499,x1,m325
Lkd5uBTda7FkJcOOpOyw,1109,abu,m326
Lm5QZwi9emSLyTF8j45I,228,abu,m327
Lx7GecWtwGcKEcKbSRBV,8,x1,m328
Lzp6i28YjWaxhGyIHBSy,195,abu,m329
M1IsPW845I2RdviAQcxG,557,apj,m330
M1RGPzjhpK3zIzMmvmwD,278,abu,m331
M5nKb6geYRhlaAMDCy7k,215,abu,m332
M6aLFuqbYVyGiuoqalCa,1003,apj,m333
M7sy1b1QIZfwb0YEOqm0,1100,abu,m334
M7zwbpM9PmBi8NhjCGII,643,abu,m335
MDplu0yczzwtdc9Z4Nh4,314,abu,m336
MGHLR4dATOPw86RoRBL8,120,abu,m337
MN128aUFmfZjt9P9MV6W,481,abu,m338
MQ7FPOwYjqfGv0x5otAp,113,abu,m339
McRoIV9MT5qRv1kcsQp8,488,abu,m340
MlOU7QEqC0qIMKKJUHAS,515,abu,m341
MpOlht5zOZUNbf9SQKtj,853,abu,m342
Mqkb2wzKvIYA1wwBbWOw,98,abu,m343
MurUIUZ8KJ4EIIPrLwUD,603,apj,m344
MwANfOFAvQ8ZrrvPyXjk,205,abu,m345
Mx0kZFW9dUGc25kvCOIY,377,abu,m346
MyVsnh8ILsQAoHZu7coy,904,x1,m347
N4omWjueOtT8INK5zwXN,142,abu,m348
N9gzvnwkJnkjcACOGb4h,560,apj,m349
NDRKRtuTArCco3sRMyGS,556,x1,m350
NGMouKZp6EuLEmu70qma,962,abu,m351
NHXu11GMlV4tMrlM4Jmu,553,x1,m352
NHykUritcfdRLodw8uYg,458,apj,m353
NJyFQRVfB5MbRElMYZUo,877,abu,m354
NK00s1Lvm0E0BFEe4k61,921,x1,m355
NM4xgqdmzqBMu7fmn8AO,230,x1,m356
NOgdG3sY3YxeBgba4mPt,116,abu,m357
NRUHtxg6uvoc87AcCM0W,810,abu,m358
NW3OWcJjLDx4ULapgI5e,169,abu,m359
NXeAi4h12QPadzlFDUrP,641,abu,m360
NaID2qtsbz86YzuXfWMq,114,abu,m361
NcHFhU15hTX9urRg6TqF,826,x1,m362
NnhAXyOJUWw4FbmCutaQ,306,abu,m363
Nopb84W57F153F6pytjO,1081,abu,m364
NtqyKL5CJB8hdsthmM77,413,apj,m365
NutD5LR35XkpvNDDG44I,1009,abu,m366
Nyvu8gKEC8uCs4RaGcTG,895,x1,m367
O0YahuAhCkWX7Oz9l2Vb,153,abu,m368
O3WagZGK4sxEZyPVfMCT,291,abu,m369
O4G3NcNVgb4fLPrZwPuB,406,abu,m370
O8OhFcNnl0aQoMpB6Y9g,567,abu,m371
O8P0DWgAzr1uKoJXNhLs,1024,abu,m372
O9k954QyuNMQw7BneDNS,10,x1,m373
OHfa00K2j4DJXrveJWLm,185,abu,m374
OQBWl65rgtFycX1JkQY5,438,abu,m375
OSxutULQdy3pPsGzmNDL,850,abu,m376
OTR9uTwmdlH2cyUQb0d1,155,abu,m377
OcOMlLLkcokEojni9Fz2,740,apj,m378
Ocrz0RoP6WyRbG2N9gQE,988,apj,m379
OiQeIAIt5KQO1zKBDU0H,732,apj,m380
Ok2dBd7y631L8WesHaJu,259,abu,m381
OxiYUmxOzv2IuC71BCmI,298,abu,m382
P63IXQ2CldLenOR6iNjT,112,x1,m383
P88FGZiAbo9bxDsn8IFT,344,abu,m384
P9mD5Yrma2h1Ho2gnYEo,529,abu,m385
PB7Er6nFG9sv2ozYmBOY,1070,apj,m386
PBF9i2zUDqV03Wvbbmfy,273,abu,m387
PCvVaQtmgAtXozETQJlZ,148,abu,m388
POtjDcCu6OraUBvFvANx,977,abu,m389
PQB68tmWfgxkkUxrKeBO,554,x1,m390
PRj05b9Km15Y7B7BvSFx,811,abu,m391
PZsxcYeyG6AOpkTkH5Ks,1017,abu,m392
PbzAAuBintnppXQmuHoN,912,x1,m393
PgBVW3pDkbP6bmYJoaFK,711,x1,m394
PgkYjY1C92QuVgnNyFH3,924,abu,m395
PmwxTc2MWzCu4O1UdQQh,633,x1,m396
PqoHgx2Sa80lEaWa28WG,494,apj,m397
PuKyLK8yqNHV5CiA3AhJ,305,abu,m398
PyBNbjteL97IpPESCT0c,1056,abu,m399
Q0AoutoM9JiIykgi3yjF,268,abu,m400
Q5IvTm8m8QZBsAXitN2J,806,abu,m401
Q95ROoeGd7QXDgk72Msl,1020,abu,m402
QCXJ852VxyFjDUkAOo8W,570,abu,m403
QEJloG6Wg3NGPvsnRKrW,486,abu,m404
QFqHbfros7WZcQ1rOyii,178,abu,m405
QHP0I6MR31fBqjpJShKJ,331,abu,m406
QHgdUGD0WtaHH6vuDuVo,999,abu,m407
QJ1bZNVHlMnr4GrNaSJt,646,abu,m408
QKcgfIyseHmN5dfaz22w,424,apj,m409
QL90A5Bw19BsxCWSMRk3,743,x1,m410
QM8baf0hDz8mpnI6PcrD,835,abu,m411
QOGfiM8t69umDTKKs5NJ,206,abu,m412
QRp76NKVcO0dUaITGTIC,1010,abu,m413
QThr5Rrc3Smvpy0nSDQ9,465,x1,m414
QWeNrRaah6suG5XUv2w0,367,abu,m415
QaueQkVe1fIgcB82Nn42,598,abu,m416
QegW9hFliAazjj1i47yf,720,abu,m417
Qg98zOy0eTRV0eLL8D7K,580,apj,m418
QlfUOqNPiwBEskUosFYI,785,x1,m419
QqF1DCQvhvMvFq5aI2ym,1043,abu,m420
Qvr0xbZEPnBIKElnrBYm,325,abu,m421
QwRDo7q72dOplU5zSECp,1110,abu,m422
QyNPpDZblqY8QqPeVSPq,851,abu,m423
R1u2XT4zOt4uFm7Cw16P,289,abu,m424
R2akcRHTcTBaE3uzi91W,632,x1,m425
R90LKDYDwWao2Yr3wLlJ,1012,abu,m426
RBcoYCCtmYdWC2duPevu,1067,apj,m427
RCjmybVLpqQbMa9hEWkT,492,x1,m428
RKZYa4qxqIf5XClYud2K,190,abu,m429
RQcF3lhz1obZ7tzyiwkH,838,abu,m430
RaCsH4pugpufIoXLZwgu,1060,apj,m431
Raq2kYI5vnsFfd6kvoxB,528,abu,m432
RbzBsNeakRX94JZZ2emK,472,abu,m433
RggVwTfgq9wTp15Xwqcu,1052,abu,m434
Rj2JzJl3VxFXAwPDnhwf,871,abu,m435
RnzL6R7NldfsR5HmfgJ6,934,abu,m436
RpC9sk093JHFbX2FkY6S,400,abu,m437
Rquq31GQVeNSr3MD53eW,610,abu,m438
RsVRdPyB5nrRlxD4AbQl,974,abu,m439
S0TL5TxQHWpeL7suvCeW,408,abu,m440
S0XtCroy55gxI331oYYC,217,abu,m441
S0ds6iIq3ga343OZYKKe,943,abu,m442
S1YSrbM4meQAu3FTyCrC,638,abu,m443
S59wUGEvwh6pfuQKrBEX,493,apj,m444
S93bldLecU7WYVu7rwfd,351,abu,m445
SBc5Bg0AEm39VnkUHOcy,328,abu,m446
SD9tQt2j2u0yUaA1HIrw,286,abu,m447
SDTktu7wXk3l2kFSlJOm,96,abu,m448
SECwZXjW3tgqw1S2M0av,674,x1,m449
SRK2I7IeFfypflWnmCTQ,106,abu,m450
SSIcQIt6Aj82CiCJy63a,365,abu,m451
SSrTNsJ8pbWPySn80jUN,226,abu,m452
SYcDp4eRnAz6x3MIm0vd,243,abu,m453
SYvbwW5jetHwzIzlGtBy,267,abu,m454
SaEMj7d0GKGc2qKossUi,827,x1,m455
ShBYM5hXoOIyP8Ojy397,845,abu,m456
SpLJmyrVaKWQ3RyjPNnW,1089,abu,m457
SsZZ51ptMYkKnAK4qjB5,651,abu,m458
SycL7vkTZYUTUGbKjmyU,1104,abu,m459
T0ay8nWno1khGDtJ8bNj,926,abu,m460
T3XumPvzgPD7XLxSwUWD,110,x1,m461
T3wYgP78km7Q7LszSpqT,663,apj,m462
TBgH4e2KIUTJjUUfUaee,678,x1,m463
TCQ8U1q2txkSF5GV6aQ6,676,x1,m464
TCYyYR2TfyE4RoTwuFJK,126,x1,m465
TF6ERJBW38FCHxtjrQkS,139,abu,m466
TIlJn1rZ8qSupVH6mXuh,524,abu,m467
TJTdTjpnLm70qLVQafVk,391,apj,m468
TK37WgUjrhfAZsLrN0gg,380,abu,m469
TZe0rXyndkK2EHdOCpcL,976,abu,m470
TaIDoDEmHPncVwBIGjuj,1033,abu,m471
Tc0jGsyIMIyJpXv1Su63,143,abu,m472
TlTS5coZtFVxFIF7nEHJ,541,abu,m473
TrWI9UNCrCgvXDJrX7vX,932,abu,m474
TsJUAxykQOmKmqZ8JhdC,1106,abu,m475
U1KUdg8RfUL63tHQtWRV,536,abu,m476
U2jHlKO3JLfv5Wrpny6B,352,abu,m477
U4AmLUBKCWflMd5W6PcA,349,x1,m478
UC6VpKllcYs09alELZ5T,299,abu,m479
UJWwFU9sETgnh018v4Ov,951,x1,m480
UQ6AuSZzXFhk4dsbdKyF,279,apj,m481
UWjWzdijoXZzooFoFucu,996,apj,m482
UXKbdRn9YqV0a3LZZycc,54,x1,m483
Ubafkz5bzQJ9v169GBCw,897,x1,m484
UbtSBIncOmOaGinfLjOq,621,x1,m485
UfN0hn2OYpDSEoP2olet,108,x1,m486
Uka4yWDtvmzKq51B6HMN,446,abu,m487
Um4TvdjP3YmvjJyDkBgt,241,abu,m488
UmrxpycchMGleF6KHFKQ,469,abu,m489
Uq2Zt1bfVpo2F1z9Axjs,759,abu,m490
UwvmSERFbS21bOKoL2C3,378,abu,m491
UyWD58iEqw8koni4GyuL,224,abu,m492
UzXmBWxTIWpFptcEgTLZ,796,x1,m493
Uzk0toKk3t32XcYujZsq,51,apj,m494
V3ZsMploWd6EYcSOvBfH,933,abu,m495
V4UYxcnisioqFyJwxHpo,965,abu,m496
V7RjliAFNovtZUljuMXu,831,abu,m497
VB5ipJW1XXjRm0LpQWPb,129,x1,m498
