won,queue,batch
393,abu,m309
394,abu,m310
395,abu,m311
396,abu,m312
397,abu,m313
398,abu,m314
399,abu,m315
400,abu,m316
401,abu,m317
402,abu,m318
403,abu,m319
404,abu,m320
405,abu,m321
406,abu,m322
407,abu,m323
408,abu,m324
409,abu,m325
411,abu,m326
412,abu,m327
413,apj,m328
414,apj,m329
416,x1,m330
417,apj,m331
420,x1,m332
421,x1,m333
422,apj,m334
423,apj,m335
424,apj,m336
425,x1,m337
426,x1,m338
427,x1,m339
428,x1,m340
429,x1,m341
430,x1,m342
431,x1,m343
432,abu,m344
433,abu,m345
434,abu,m346
435,abu,m347
436,abu,m348
437,abu,m349
438,abu,m350
439,abu,m351
440,abu,m352
441,abu,m353
442,abu,m354
443,abu,m355
446,abu,m356
448,apj,m357
449,x1,m358
450,apj,m359
451,apj,m360
452,apj,m361
453,x1,m362
454,x1,m363
455,apj,m364
456,apj,m365
457,apj,m366
458,apj,m367
459,apj,m368
460,apj,m369
461,apj,m370
462,x1,m371
463,apj,m372
464,x1,m373
465,x1,m374
466,x1,m375
467,x1,m376
468,abu,m377
469,abu,m378
470,apj,m379
471,abu,m380
472,abu,m381
473,abu,m382
474,abu,m383
475,abu,m384
476,abu,m385
477,abu,m386
478,abu,m387
479,abu,m388
480,abu,m389
481,abu,m390
482,abu,m391
483,abu,m392
484,abu,m393
485,abu,m394
486,abu,m395
487,abu,m396
488,abu,m397
489,abu,m398
490,abu,m399
492,x1,m400
493,apj,m401
494,apj,m402
495,apj,m403
496,apj,m404
497,apj,m405
498,apj,m406
499,x1,m407
500,x1,m408
501,x1,m409
502,x1,m410
503,x1,m411
504,apj,m412
505,apj,m413
506,apj,m414
508,x1,m415
509,x1,m416
510,abu,m417
511,x1,m418
512,x1,m419
513,x1,m420
514,x1,m421
515,abu,m422
516,x1,m423
517,abu,m424
518,abu,m425
519,abu,m426
520,abu,m427
521,abu,m428
522,abu,m429
523,abu,m430
524,abu,m431
525,abu,m432
526,abu,m433
527,abu,m434
528,abu,m435
529,abu,m436
530,abu,m437
531,abu,m438
532,abu,m439
533,abu,m440
534,abu,m441
535,abu,m442
536,abu,m443
537,abu,m444
538,abu,m445
539,abu,m446
540,apj,m447
541,abu,m448
542,abu,m449
543,abu,m450
544,x1,m451
545,apj,m452
546,apj,m453
547,x1,m454
548,x1,m455
549,x1,m456
550,x1,m457
551,x1,m458
552,x1,m459
553,x1,m460
554,x1,m461
555,x1,m462
556,x1,m463
557,apj,m464
558,apj,m465
559,x1,m466
560,apj,m467
561,abu,m468
562,abu,m469
564,abu,m470
565,abu,m471
566,abu,m472
567,abu,m473
568,abu,m474
569,abu,m475
570,abu,m476
571,abu,m477
572,abu,m478
573,abu,m479
574,x1,m480
575,apj,m481
576,apj,m482
577,abu,m483
578,apj,m484
579,x1,m485
580,apj,m486
581,x1,m487
582,apj,m488
583,apj,m489
584,apj,m490
585,abu,m491
586,abu,m492
587,abu,m493
588,abu,m494
589,abu,m495
590,abu,m496
591,abu,m497
592,abu,m498
593,abu,m499
594,abu,m500
595,abu,m501
597,abu,m502
598,abu,m503
600,abu,m504
602,apj,m505
603,apj,m506
605,apj,m507
606,apj,m508
607,x1,m509
608,x1,m510
610,abu,m511
611,abu,m512
612,abu,m513
613,abu,m514
614,abu,m515
615,abu,m516
616,abu,m517
617,abu,m518
618,abu,m519
619,abu,m520
620,x1,m521
621,x1,m522
622,apj,m523
623,apj,m524
624,x1,m525
625,apj,m526
626,x1,m527
627,x1,m528
628,apj,m529
629,x1,m530
630,apj,m531
631,x1,m532
632,x1,m533
633,x1,m534
634,abu,m535
635,abu,m536
636,abu,m537
637,abu,m538
638,abu,m539
639,abu,m540
640,abu,m541
641,abu,m542
642,abu,m543
643,abu,m544
644,abu,m545
645,abu,m546
646,abu,m547
647,abu,m548
648,abu,m549
649,abu,m550
650,abu,m551
651,abu,m552
652,abu,m553
653,abu,m554
654,abu,m555
655,abu,m556
656,abu,m557
657,abu,m558
658,abu,m559
659,abu,m560
660,apj,m561
661,abu,m562
662,apj,m563
663,apj,m564
664,abu,m565
665,apj,m566
666,apj,m567
667,apj,m568
668,x1,m569
669,x1,m570
670,apj,m571
674,x1,m572
675,x1,m573
676,x1,m574
677,x1,m575
678,x1,m576
679,x1,m577
681,abu,m578
682,abu,m579
683,abu,m580
684,abu,m581
685,abu,m582
686,abu,m583
687,abu,m584
688,abu,m585
689,abu,m586
690,abu,m587
691,abu,m588
692,abu,m589
693,abu,m590
694,abu,m591
695,abu,m592
696,apj,m593
697,apj,m594
698,x1,m595
699,apj,m596
700,x1,m597
701,x1,m598
702,apj,m599
703,apj,m600
704,x1,m601
705,x1,m602
706,apj,m603
707,apj,m604
708,x1,m605
709,abu,m606
710,x1,m607
711,x1,m608
713,x1,m609
714,x1,m610
715,abu,m611
716,abu,m612
717,abu,m613
718,abu,m614
719,abu,m615
720,abu,m616
721,abu,m617
722,abu,m618
723,abu,m619
724,abu,m620
725,abu,m621
726,abu,m622
727,abu,m623
728,abu,m624
729,abu,m625
730,apj,m626
731,abu,m627
732,apj,m628
733,x1,m629
734,apj,m630
735,apj,m631
736,x1,m632
737,apj,m633
738,x1,m634
739,apj,m635
740,apj,m636
741,x1,m637
742,x1,m638
743,x1,m639
744,apj,m640
745,apj,m641
746,x1,m642
747,apj,m643
748,x1,m644
749,apj,m645
750,x1,m646
751,apj,m647
752,x1,m648
753,apj,m649
754,x1,m650
755,x1,m651
756,x1,m652
757,abu,m653
758,x1,m654
759,abu,m655
760,abu,m656
761,abu,m657
762,abu,m658
763,abu,m659
764,abu,m660
765,abu,m661
766,abu,m662
767,abu,m663
768,abu,m664
769,x1,m665
770,x1,m666
771,x1,m667
772,abu,m668
773,abu,m669
774,x1,m670
776,abu,m671
777,abu,m672
778,apj,m673
779,apj,m674
780,apj,m675
781,apj,m676
782,apj,m677
783,x1,m678
784,apj,m679
785,x1,m680
786,x1,m681
787,x1,m682
788,x1,m683
789,x1,m684
790,x1,m685
791,x1,m686
792,apj,m687
793,x1,m688
794,x1,m689
795,x1,m690
796,x1,m691
797,abu,m692
798,x1,m693
799,x1,m694
800,x1,m695
801,abu,m696
802,x1,m697
803,abu,m698
804,x1,m699
805,abu,m700
806,abu,m701
807,x1,m702
808,abu,m703
809,abu,m704
810,abu,m705
811,abu,m706
812,abu,m707
813,abu,m708
814,abu,m709
815,abu,m710
816,abu,m711
817,x1,m712
818,x1,m713
819,x1,m714
820,x1,m715
821,x1,m716
822,x1,m717
823,x1,m718
824,x1,m719
825,x1,m720
826,x1,m721
827,x1,m722
828,abu,m723
829,abu,m724
830,abu,m725
831,abu,m726
832,abu,m727
833,abu,m728
834,abu,m729
835,abu,m730
836,abu,m731
837,abu,m732
838,abu,m733
839,abu,m734
840,abu,m735
841,abu,m736
842,abu,m737
843,abu,m738
844,abu,m739
845,abu,m740
846,abu,m741
847,abu,m742
848,abu,m743
849,abu,m744
850,abu,m745
851,abu,m746
852,abu,m747
853,abu,m748
854,abu,m749
855,x1,m750
856,x1,m751
857,x1,m752
858,x1,m753
859,x1,m754
860,abu,m755
861,abu,m756
862,x1,m757
863,abu,m758
864,abu,m759
865,abu,m760
866,abu,m761
867,abu,m762
868,abu,m763
869,abu,m764
870,abu,m765
871,abu,m766
872,abu,m767
873,abu,m768
874,abu,m769
875,abu,m770
876,abu,m771
877,abu,m772
878,abu,m773
879,abu,m774
880,abu,m775
882,x1,m776
883,x1,m777
884,x1,m778
885,x1,m779
886,x1,m780
887,x1,m781
888,x1,m782
889,x1,m783
890,x1,m784
891,x1,m785
892,x1,m786
893,x1,m787
894,x1,m788
895,x1,m789
896,x1,m790
897,x1,m791
898,x1,m792
899,x1,m793
900,x1,m794
901,x1,m795
902,x1,m796
903,x1,m797
904,x1,m798
905,x1,m799
906,x1,m800
907,x1,m801
908,x1,m802
910,x1,m803
912,x1,m804
913,x1,m805
914,x1,m806
915,x1,m807
916,x1,m808
917,x1,m809
918,apj,m810
919,x1,m811
920,x1,m812
921,x1,m813
922,x1,m814
923,abu,m815
924,abu,m816
925,abu,m817
926,abu,m818
927,abu,m819
928,abu,m820
929,abu,m821
930,abu,m822
931,abu,m823
932,abu,m824
933,abu,m825
934,abu,m826
935,abu,m827
936,abu,m828
937,abu,m829
940,abu,m830
941,abu,m831
942,abu,m832
943,abu,m833
944,abu,m834
945,x1,m835
946,x1,m836
947,apj,m837
948,x1,m838
949,apj,m839
950,x1,m840
951,x1,m841
952,apj,m842
953,x1,m843
954,apj,m844
955,abu,m845
957,apj,m846
958,apj,m847
959,x1,m848
960,abu,m849
961,abu,m850
962,abu,m851
963,abu,m852
964,abu,m853
965,abu,m854
966,abu,m855
967,abu,m856
968,abu,m857
969,abu,m858
970,abu,m859
971,abu,m860
972,abu,m861
973,abu,m862
974,abu,m863
975,abu,m864
976,abu,m865
977,abu,m866
978,abu,m867
979,abu,m868
980,apj,m869
981,abu,m870
982,abu,m871
983,abu,m872
984,abu,m873
985,abu,m874
986,apj,m875
987,apj,m876
988,apj,m877
989,apj,m878
990,apj,m879
991,apj,m880
992,apj,m881
993,apj,m882
994,apj,m883
995,apj,m884
996,apj,m885
997,apj,m886
998,abu,m887
999,abu,m888
1000,abu,m889
1001,abu,m890
1002,abu,m891
1003,apj,m892
1004,apj,m893
1005,apj,m894
1006,abu,m895
1007,abu,m896
1008,abu,m897
1009,abu,m898
1010,abu,m899
1011,abu,m900
1012,abu,m901
1013,abu,m902
1014,abu,m903
1015,abu,m904
1016,abu,m905
1017,abu,m906
1018,abu,m907
1019,abu,m908
1020,abu,m909
1021,abu,m910
1022,abu,m911
1023,abu,m912
1024,abu,m913
1025,apj,m914
1026,apj,m915
1027,apj,m916
1028,apj,m917
1029,apj,m918
1030,apj,m919
1031,apj,m920
1032,apj,m921
1033,abu,m922
1034,abu,m923
1035,abu,m924
1036,abu,m925
1038,abu,m926
1039,abu,m927
1040,abu,m928
1041,abu,m929
1042,abu,m930
1043,abu,m931
1044,abu,m932
1045,abu,m933
1046,abu,m934
1047,abu,m935
1048,abu,m936
1049,abu,m937
1050,abu,m938
1051,abu,m939
1052,abu,m940
1053,abu,m941
1054,abu,m942
1055,abu,m943
1056,abu,m944
1057,abu,m945
1058,abu,m946
1059,apj,m947
1060,apj,m948
1061,apj,m949
1062,apj,m950
1063,apj,m951
1064,apj,m952
1065,apj,m953
1066,apj,m954
1067,apj,m955
1068,apj,m956
1069,apj,m957
1070,apj,m958
1071,x1,m959
1072,abu,m960
1073,abu,m961
1074,abu,m962
1075,abu,m963
1076,abu,m964
1077,abu,m965
1078,abu,m966
1079,abu,m967
1080,abu,m968
1081,abu,m969
1082,abu,m970
1083,abu,m971
1084,abu,m972
1085,abu,m973
1086,abu,m974
1087,abu,m975
1088,abu,m976
1089,abu,m977
1090,abu,m978
1091,abu,m979
1092,apj,m980
1093,apj,m981
1094,apj,m982
1095,apj,m983
1096,apj,m984
1097,apj,m985
1098,apj,m986
1099,apj,m987
1100,abu,m988
1101,abu,m989
1102,abu,m990
1103,abu,m991
1104,abu,m992
1105,abu,m993
1106,abu,m994
1107,abu,m995
1108,abu,m996
1109,abu,m997
1110,abu,m998
1111,abu,m999
1112,abu,m1000
